"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-01",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-02",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-03",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-04",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-05",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-06",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-07",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-08",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-09",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-10",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-11",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-12",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-13",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-14",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-15",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-16",,,"0.00","0.0"
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-17",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-18",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-19",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-20",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-21",,,"0.00",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-27",,,"0.85",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-28",,,"0.35",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-29",,,"0.02",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-11-30",,,"0.10",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-01",,,"0.91",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-02",,,"1.98",
"US1CASC0054","GILROY 0.1 SE, CA US","2019-12-03",,,"0.82",
