"STATION","NAME","DATE","PRCP","SNOW"
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-02","0.88",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-03","0.56",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-09","0.05",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-10","0.34",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-15","0.29",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-16","0.10",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-11-25","0.37",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-01","0.00",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-04","0.23",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-10","0.16","0.0"
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-11","0.31",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-12","0.01",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-14","0.42",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-19","0.23",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-20","0.05",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-21","0.03",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-22","0.62",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-23","0.11",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-24","0.08",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-25","0.20",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2015-12-28","0.09",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-16","0.25",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-17","0.03",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-18","0.95",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-19","0.40",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-20","0.42",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-22","0.05",
"US1CASC0008","LOS ALTOS 0.6 NNW, CA US","2016-01-23","0.17",
